Function Name, Postcondition, true, false
getTraceBufferLength,  res_tmp >= specifiedMaxRecordedFrames && 0 == res_tmp % k_PTRS_PER_MAX, 362, 0
checkBlockHeader,  res_tmp == 0 || res_tmp == -1, 208473, 0
operator(),  res_tmp >= d_oldSize && res_tmp <= newSize, 2, 0
getIdentifierOctets,  res_tmp == SUCCESS || res_tmp == FAILURE, 61, 0
putIdentifierOctets,  res_tmp == SUCCESS || res_tmp == FAILURE, 61, 0
getNumOctetsToStream,  res_tmp >= 1, 26, 0
startPos,  res_tmp >= 0, 129, 0
logError,  true, 90, 0
parseBoolean,  (res_tmp == 0 && (*result == true || *result == false)) || (res_tmp == -1), 18, 0
parseDoubleImpl,  res_tmp == 0 || res_tmp == -1, 474, 0
parseDouble,  res_tmp == BAEXML_SUCCESS || res_tmp == BAEXML_FAILURE, 474, 0
parseInt,  res_tmp == BAEXML_SUCCESS || res_tmp == BAEXML_FAILURE, 251, 0
parseUnsignedInt,  res_tmp == BAEXML_SUCCESS || res_tmp == BAEXML_FAILURE, 48, 0
parseDecimal64Impl,  res_tmp == 0 || res_tmp == -1, 170, 0
parse,  res_tmp == 0 || res_tmp == BAEXML_FAILURE, 14177, 0
unicodeToUtf8,  res_tmp == 0 || (res_tmp > 0 && output[res_tmp] == '\0'), 0, 11
setError,  res_tmp == 0 || res_tmp == -1, 1674, 0
skipSpaces,  res_tmp >= '!' || res_tmp == 0, 547174, 0
pushPrefix,  res_tmp >= -1, 28, 0
lookupNamespaceId,  true, 27, 0
doOpen,  true, 5107, 0
getFormatterInitialIndentLevel, COMPACT, 0, 0
lookupPredefinedId,  res_tmp >= 0 || res_tmp == -1, 68, 0
encodeCharArray,  res_tmp >= 0, 650, 0
decodeObject,  res_tmp == -4 || res_tmp == -3 || res_tmp == -2 || res_tmp == -1 || res_tmp == 0, 1137, 0
decodeArray,  res_tmp == 0 || res_tmp == -1 || res_tmp == -2 || res_tmp == -4, 3002, 0
extractValue,  res_tmp == 0 || res_tmp == -1, 1646, 0
encodeArray,  res_tmp == 0 || res_tmp != 0, 466, 0
encodeObject,  res_tmp == 0 || res_tmp != 0, 599, 0
decode,  res_tmp == 0 || res_tmp == -1 || res_tmp == -2, 1649, 70
getUnquotedString,  res_tmp >= 0, 63, 42
fromAsciiCaseless,  res_tmp == BALL_SUCCESS || res_tmp == BALL_FAILURE, 87, 0
format,  res_tmp >= -1 && res_tmp <= (int)numBytes, 1999, 0
hash,  res_tmp == rule.d_hashValue, 22279, 1
deregisterObserver,  res_tmp == 0 || res_tmp == 1, 25, 0
findObserver,  res_tmp != NULL, 36, 14
getDefaultFormat,  res_tmp == (val > 0), 0, 0
parse,  res_tmp == 0 || res_tmp == -1, 7059, 0
setFormat,  res_tmp == 0 || res_tmp == -1, 71333, 0
fromAscii,  res_tmp == 0 || res_tmp == -1, 45, 0
setLevels,  res_tmp == 0 || res_tmp == -1, 0, 0
hash,  res_tmp < size, 134790, 0
addCategory,  res_tmp == 0 || res_tmp != 0, 45, 0
defaultRecordBufferSize,  res_tmp == d_recordBufferSize, 7, 0
hash,  res_tmp >= 0 && res_tmp < size, 906466, 0
getTimestampSuffix,  res_tmp.length() == 15, 54, 0
openLogFile,  res_tmp == 0 || res_tmp == -1, 108, 0
addRule,  res_tmp == -1 || res_tmp == -2 || (res_tmp > 0 && res_tmp <= maxNumRules()), 297439, 5094
ruleId,  res_tmp >= -1, 2564, 156607
hash,  res_tmp >= 0 && res_tmp < size, 61, 0
addCollector,  res_tmp == 0 || res_tmp == 1, 19, 0
getZoneinfoId,  res_tmp == 0 || res_tmp == -1, 108, 0
lookupTimeZone,  (res_tmp == 0 && *timeZone != NULL) || (res_tmp != 0 && *timeZone == NULL), 146, 0
findTransitionWithDstFlag,  true, 54, 0
convertUtcToLocalTime, DatetimeTz() && resultTimeZoneId != nullptr && cache != nullptr, 0, 0
configureImp,  res_tmp == 0 || res_tmp != 0, 85, 0
validateTimeZoneId,  res_tmp == -1 || res_tmp == -2 || res_tmp == 0, 403, 0
loadTimeZoneFilePath,  *result == pre_result, 0, 0
readRawTz,  res_tmp == 0 || res_tmp == -1 || res_tmp == -2, 427, 0
decode32,  true, 12608, 0
readHeader,  res_tmp == 0 || (res_tmp < 0 && (res_tmp == -1 || res_tmp == -2 || res_tmp == -3 || res_tmp == -4 || res_tmp == -5 || res_tmp == -6 || res_tmp == -7 || res_tmp == -8 || res_tmp == -9)), 1290, 0
readVersion2Or3FormatData,  res_tmp == 0 || res_tmp < 0, 435, 0
convertUtcToLocalTime, k_OUT_OF_RANGE, 0, 0
parseEnvironmentVariable,  res_tmp == 1 || res_tmp == -1, 215, 8
findName,  res_tmp >= -1 && res_tmp < static_cast<int>(d_options.size()), 5924, 378549
calculateNumberOfUnitsToDrain,  *fractionalUnitDrainedInNanoUnits < k_NANOUNITS_PER_UNIT, 12824828, 0
calculateTimeToSubmit,  res_tmp > 0, 0, 0
registerHandler,  res_tmp == 0 || res_tmp == 1, 75, 0
calculateTimeToSubmit,  res_tmp >= timeToSubmitPeak && res_tmp >= timeToSubmitSustained, 0, 0
addGeneralPublisher,  res_tmp == 0 || res_tmp == -1, 345, 0
registerCollectionCallback,  res_tmp >= 0, 2, 0
setFormat,  res_tmp == 0 || res_tmp == -1, 50, 0
insertId,  res_tmp.second == true || res_tmp.second == false, 0, 0
numMetrics,  res_tmp >= 0, 104, 0
makeInvalidInterval,  res_tmp == 0, 0, 0
processData,  res_tmp == 0, 0, 0
configureLibrary,  res_tmp == 0, 0, 0
main,  res_tmp == 0, 0, 0
main,  res_tmp == true || res_tmp == false, 0, 0
usageExample1,  res_tmp == 0, 0, 0
absLevel,  res_tmp >= 0, 115, 0
getNumDeletes,  res_tmp == s_numDeletes, 0, 0
getProcessName,  res_tmp == 0 || res_tmp == -1, 0, 0
