Function Name, Postcondition, true, false
getTraceBufferLength,  res_tmp >= specifiedMaxRecordedFrames && res_tmp % k_PTRS_PER_MAX == 0, 362, 0
checkBlockHeader,  res_tmp == 0 || res_tmp == -1, 208473, 0
allocationLimit,  true, 209275, 0
resolve,  res_tmp == -1, 0, 0
operator(),  res_tmp >= 0, 2, 0
getIdentifierOctets,  true, 61, 0
getIdentifierOctets,  res_tmp == 0 || res_tmp == -1, 61, 0
putIdentifierOctets,  res_tmp == 0 || res_tmp == -1, 61, 0
getNumOctetsToStream,  res_tmp >= 1, 26, 0
startPos,  res_tmp >= 0, 129, 0
logError,  true, 90, 0
parseBoolean,  res_tmp == BAEXML_SUCCESS || res_tmp == BAEXML_FAILURE, 18, 0
parseDoubleImpl,  res_tmp == 0 || res_tmp == -1, 474, 0
parseDouble,  res_tmp == 0 || res_tmp == -1, 474, 0
parseInt,  res_tmp == 0 || res_tmp == -1, 251, 0
parseUnsignedInt,  res_tmp == BAEXML_SUCCESS || res_tmp == BAEXML_FAILURE, 48, 0
parseDecimal64Impl,  res_tmp == BAEXML_SUCCESS || res_tmp == BAEXML_FAILURE, 170, 0
parse,  res_tmp == 0 || res_tmp == -1, 14177, 0
unicodeToUtf8,  res_tmp >= 0, 11, 0
setError,  res_tmp == 0 || res_tmp == -1, 1674, 0
skipSpaces,  res_tmp == 0 || res_tmp != 0, 8631, 0
pushPrefix,  res_tmp == -1 || res_tmp >= 0, 28, 0
lookupNamespaceId,  true, 27, 0
doOpen,  res_tmp == 0 || res_tmp != 0, 5107, 0
getFormatterInitialIndentLevel,  res_tmp == 0 || res_tmp == options.initialIndentLevel(), 735, 0
lookupPredefinedId, e_PREDEF_MIN, 0, 0
encodeCharArray,  true, 650, 0
decodeObject,  res_tmp == 0 || res_tmp == -1 || res_tmp == -2 || res_tmp == -3 || res_tmp == -4, 1137, 0
decodeArray,  res_tmp == -4 || res_tmp == -1 || res_tmp == -2 || res_tmp == 0, 3002, 0
extractValue,  res_tmp == 0 || res_tmp == -1, 1646, 0
encodeArray,  res_tmp == 0 || res_tmp != 0, 466, 0
encodeObject,  true, 599, 0
decode,  res_tmp == 0 || res_tmp == -1 || res_tmp == -2 || res_tmp == -3, 1719, 0
getUnquotedString,  true, 105, 0
fromAsciiCaseless,  res_tmp == BALL_SUCCESS || res_tmp == BALL_FAILURE, 87, 0
getRecordPtr,  res_tmp != NULL, 118749, 0
format,  res_tmp == -1 || res_tmp >= 0, 1753, 0
hash,  0 <= res_tmp && res_tmp < size, 69, 0
deregisterObserver,  res_tmp == 0 || res_tmp == 1, 25, 0
findObserver,  res_tmp == nullptr || res_tmp != nullptr, 50, 0
getDefaultFormat,  !res_tmp.empty(), 0, 0
parse,  res_tmp == 0 || res_tmp == -1, 7059, 0
setFormat,  true, 71333, 0
fromAscii,  res_tmp == 0 || res_tmp == -1, 45, 0
setLevels,  res_tmp == 0 || res_tmp == -1, 0, 0
hash,  0 <= res_tmp && res_tmp < size, 134790, 0
addCategory,  res_tmp == 0 || res_tmp == 1, 45, 0
