Function Name, Postcondition, true, false
getTraceBufferLength,  res_tmp >= specifiedMaxRecordedFrames && res_tmp % k_PTRS_PER_MAX == 0, 362, 0
checkBlockHeader,  res_tmp == 0 || res_tmp == -1, 208473, 0
allocate,  res_tmp!= 0 && BSLMA_TESTALLOCATOR_MAGIC(res_tmp) == k_ALLOCATED_BLOCK_MAGIC, 0, 0
allocationLimit,  res_tmp == d_allocationLimit.loadRelaxed(), 209275, 0
findBasename,  pathName <= res_tmp && res_tmp < ptr, 0, 230
resolve,  res_tmp == -1, 0, 0
printStackTrace,  res_tmp!= NULL && *res_tmp!= NULL, 0, 0
operator<<,  res_tmp == stream, 0, 0
print,  res_tmp.is_valid(), 0, 0
print,  res_tmp == stream, 0, 0
operator<<,  res_tmp == stream, 0, 0
operator(),  res_tmp <= newSize, 2, 0
getIdentifierOctets,  true, 61, 0
getIdentifierOctets,  res_tmp == SUCCESS || res_tmp == FAILURE, 61, 0
putIdentifierOctets,  res_tmp == SUCCESS || res_tmp == FAILURE, 61, 0
getNumOctetsToStream,  res_tmp >= 0, 26, 0
isValidTimezoneOffsetInMinutes,  res_tmp == (k_MIN_OFFSET <= value && k_MAX_OFFSET >= value), 9350177, 0
toString,  res_tmp!= NULL, 0, 0
startPos,  res_tmp >= d_consumedHeaderBytes + d_consumedBodyBytes, 38, 91
logError,  res_tmp == rc, 90, 0
logError,  res_tmp == e_BER_ERROR || res_tmp == logMsg("ERROR"$ tagClass$ tagNumber$ name$ index), 5, 0
nodeTypeAsString,  res_tmp!= NULL, 0, 0
parseBoolean,  res_tmp == BAEXML_SUCCESS || res_tmp == BAEXML_FAILURE, 18, 0
parseDoubleImpl,  res_tmp == BAEXML_SUCCESS || res_tmp == BAEXML_FAILURE, 474, 0
parseDouble,  res_tmp == 0 || res_tmp == -1, 474, 0
parseInt,  res_tmp == BAEXML_SUCCESS || res_tmp == BAEXML_FAILURE, 251, 0
parseUnsignedInt,  res_tmp == BAEXML_SUCCESS || res_tmp == BAEXML_FAILURE, 48, 0
parseDecimal64Impl,  res_tmp == BAEXML_SUCCESS || res_tmp == BAEXML_FAILURE, 170, 0
parse,  res_tmp == 0 || res_tmp == -1, 14177, 0
errorSeverity, e_NO_ERROR, 0, 0
nonNullStr,  res_tmp!= NULL || res_tmp == "", 4254, 0
toChar,  isalpha(res_tmp) || isdigit(res_tmp) || isspace(res_tmp), 0, 0
unicodeToUtf8,  res_tmp > 0 || res_tmp == 0, 11, 0
setError,  res_tmp == -1 || res_tmp == 0, 1674, 0
errorInfo,  res_tmp == d_errorInfo, 0, 0
skipSpaces,  res_tmp == 0 || res_tmp == *d_scanPtr, 547174, 0
lookupPredefinedPrefix,  res_tmp == nullPrefix || res_tmp.d_prefix == prefix, 0, 0
pushPrefix,  res_tmp == -1 || res_tmp >= 0, 28, 0
lookupNamespaceId,  res_tmp >= 0, 18, 9
nonNullStr,  res_tmp == str || res_tmp == "", 328, 0
doOpen,  res_tmp == 0 || res_tmp > 0, 4900, 207
allocator,  res_tmp!= NULL, 0, 0
