Function Name, Postcondition, true, false
getTraceBufferLength,  res_tmp >= specifiedMaxRecordedFrames && res_tmp % k_PTRS_PER_MAX == 0, 362, 0
checkBlockHeader,  res_tmp == 0 || res_tmp == -1, 208473, 0
allocationLimit,  res_tmp == d_allocationLimit.loadRelaxed(), 209275, 0
resolve,  res_tmp == -1, 0, 0
operator(),  res_tmp == d_oldSize + nRead, 2, 0
getIdentifierOctets,  res_tmp == SUCCESS || res_tmp == FAILURE, 61, 0
putIdentifierOctets,  res_tmp == SUCCESS || res_tmp == FAILURE, 61, 0
getNumOctetsToStream,  res_tmp >= 0, 26, 0
startPos,  res_tmp >= 0, 129, 0
logError,  ErrorSeverity, 0, 0
parseBoolean,  res_tmp == (*result) && res_tmp == BAEXML_SUCCESS, 9, 9
parseDoubleImpl,  res_tmp == BAEXML_SUCCESS || res_tmp == BAEXML_FAILURE, 474, 0
parseDouble,  res_tmp == BAEXML_SUCCESS || res_tmp == BAEXML_FAILURE, 474, 0
parseInt,  res_tmp == BAEXML_SUCCESS && consumed == inputLength, 251, 0
parseUnsignedInt,  res_tmp == BAEXML_SUCCESS || res_tmp == BAEXML_FAILURE, 48, 0
parseDecimal64Impl,  res_tmp == BAEXML_SUCCESS || res_tmp == BAEXML_FAILURE, 170, 0
parse,  res_tmp == 0 || res_tmp == -1, 14177, 0
unicodeToUtf8,  res_tmp >= 0, 0, 0
setError,  res_tmp == 0 || res_tmp == -1, 1674, 0
skipSpaces,  res_tmp != 0, 284, 4
pushPrefix,  d_prefixes[res_tmp].first == prefix && d_prefixes[res_tmp].second == nsId && (unsigned) d_numPrefixes == res_tmp + 1, 23, 5
lookupNamespaceId,  res_tmp >= 0, 18, 9
doOpen,  res_tmp == 0 || res_tmp != 0 && res_tmp < 0, 15, 0
getFormatterInitialIndentLevel, COMPACT && res_tmp == 0, 0, 0
lookupPredefinedId, e_PREDEF_MIN && res_tmp < ARRAY_LEN(predefinedNamespaces) || res_tmp == -1, 0, 0
encodeCharArray,  res_tmp != -1, 18, 0
decodeObject,  res_tmp == 0 || res_tmp == -4 || res_tmp == -1 || res_tmp == -2 || res_tmp == -3, 1137, 0
decodeArray,  res_tmp == 0 || res_tmp == -4 || res_tmp == -1 || res_tmp == -2, 3002, 0
extractValue,  res_tmp == 0 || res_tmp == -1, 1646, 0
encodeArray, encodeValue(formatter$ datum[datum.length() - 1]$ strictTypesCheckStatus), 0, 4
encodeObject,  res_tmp == 0, 599, 0
decode,  res_tmp == 0 || res_tmp == -2 || res_tmp == -3, 1670, 49
getUnquotedString,  res_tmp != -1, 63, 42
fromAsciiCaseless,  res_tmp == BALL_SUCCESS || res_tmp == BALL_FAILURE, 87, 0
getRecordPtr,  res_tmp->fixedFields().fileName() == fileName && res_tmp->fixedFields().lineNumber() == lineNumber, 0, 0
format,  (signed)numBytes <= res_tmp, 0, 1999
hash,  res_tmp == rule.d_hashValue && res_tmp < rule.d_hashSize, 24942, 0
deregisterObserver,  res_tmp == 0 || res_tmp == 1, 25, 0
