Function Name, Postcondition, true, false
getTraceBufferLength,  res_tmp >= specifiedMaxRecordedFrames && (res_tmp % k_PTRS_PER_MAX) == 0, 362, 0
checkBlockHeader,  res_tmp == 0 || res_tmp == -1, 208473, 0
allocate,  res_tmp != NULL, 0, 0
allocationLimit,  true, 209275, 0
findBasename,  res_tmp != NULL, 230, 0
resolve,  res_tmp == -1, 0, 0
printStackTrace,  res_tmp == stream, 0, 0
operator<<,  res_tmp == stream, 0, 0
print,  res_tmp == stream, 0, 0
print,  res_tmp.good(), 0, 0
operator<<,  res_tmp.good(), 0, 0
operator(),  res_tmp >= d_oldSize && res_tmp <= d_oldSize + newSize, 2, 0
getIdentifierOctets,  true, 61, 0
getIdentifierOctets,  res_tmp == 0 || res_tmp == -1, 61, 0
putIdentifierOctets,  res_tmp == 0 || res_tmp == -1, 61, 0
getNumOctetsToStream,  res_tmp >= 1, 26, 0
isValidTimezoneOffsetInMinutes,  res_tmp == (k_MIN_OFFSET <= value) && (k_MAX_OFFSET >= value), 9670923, 0
toString,  res_tmp != NULL, 0, 0
startPos,  res_tmp >= 0, 129, 0
logError,  res_tmp == d_decoder->logError(msg), 90, 0
logError,  res_tmp == e_BER_ERROR, 5, 0
nodeTypeAsString,  res_tmp != "(* UNKNOWN NODE TYPE *)", 0, 0
parseBoolean,  res_tmp == BAEXML_SUCCESS || res_tmp == BAEXML_FAILURE, 18, 0
parseDoubleImpl,  res_tmp == 0 || res_tmp == -1, 474, 0
parseDouble,  res_tmp == 0 || res_tmp == -1, 474, 0
parseInt,  res_tmp == 0 || res_tmp == -1, 251, 0
parseUnsignedInt,  res_tmp == 0 || res_tmp == -1, 48, 0
parseDecimal64Impl,  res_tmp == BAEXML_SUCCESS || res_tmp == BAEXML_FAILURE, 170, 0
parse,  res_tmp == 0 || res_tmp == -1, 14177, 0
errorSeverity, e_NO_ERROR, 0, 0
nonNullStr,  res_tmp != NULL, 2, 0
toChar,  is_signed(res_tmp) == false, 0, 0
unicodeToUtf8,  res_tmp >= 0 && res_tmp <= 4, 0, 0
setError,  res_tmp == 0 || res_tmp == -1, 1674, 0
errorInfo,  true, 0, 0
skipSpaces,  isprint(res_tmp), 0, 0
lookupPredefinedPrefix,  res_tmp.d_prefix == prefix, 1, 1
pushPrefix,  res_tmp >= 0, 28, 0
lookupNamespaceId,  res_tmp >= 0, 18, 9
nonNullStr,  res_tmp != NULL, 31, 0
doOpen,  res_tmp == 0 || res_tmp > 0, 4900, 207
allocator,  res_tmp != NULL, 0, 0
getFormatterInitialIndentLevel,  res_tmp == 0 || res_tmp == options.initialIndentLevel(), 735, 0
prefix,  res_tmp != NULL, 5, 0
operator=,  res_tmp.d_mode == rhs.d_mode, 0, 0
addBlankLine,  res_tmp == stream, 0, 0
printTextReplacingXMLEscapes,  res_tmp == data, 0, 0
printDecimalWithDigitsOptions,  res_tmp == stream, 0, 0
extractNamespaceFromXsd,  targetNamespace != NULL && targetNamespace->size() > 0, 9, 3
addBlankLine,  res_tmp == stream, 0, 0
